category_en,orders,customers,products_sold,sellers,units,product_revenue,freight_revenue,gmv,avg_item_price,avg_weight_g,delivered_units,avg_review_score,avg_delivery_days,late_rate,rated_units,negative_review_rate,freight_ratio,pct_of_revenue,cumulative_pct
stationery,2299,2284,844,173,2505,229593.84,46558.340000000004,276152.18,91.65422754491019,2749.9580838323354,2466,4.237631792376318,12.671532846715328,0.06772100567721005,2466,0.11759935117599352,0.16859667738273876,0.01707077090891999,0.7802615875561233
computers,181,179,30,9,203,222963.13,9836.3,232799.43,1098.3405418719212,7216.79802955665,199,4.185929648241206,13.43718592964824,0.05025125628140704,199,0.12562814070351758,0.042252251218999975,0.01657776407836441,0.7968393516344877
pet_shop,1702,1681,715,135,1938,213076.95,39324.15,252401.1,109.946826625387,2908.346233230134,1920,4.2078125,11.143229166666666,0.049479166666666664,1920,0.12291666666666666,0.15580023224938402,0.01584270640458559,0.8126820580390733
small_appliances,622,619,226,101,671,187907.26,15824.24,203731.5,280.0406259314456,2962.929955290611,658,4.2051671732522795,10.7370820668693,0.04559270516717325,658,0.1276595744680851,0.0776720340251753,0.013971288548433464,0.8266533465875068
musical_instruments,620,616,284,68,669,187788.44,18232.88,206021.32,280.70020926756354,3089.932735426009,651,4.204301075268817,12.929339477726575,0.07373271889400922,651,0.1228878648233487,0.08849996689662992,0.013962454038764572,0.8406158006262714
unknown,1435,1429,600,256,1587,178506.66,27921.71,206428.37,112.48056710775047,1650.5503184713375,1535,3.9211726384364822,12.728338762214984,0.0749185667752443,1535,0.2,0.13526101087752618,0.013272334739366141,0.8538881353656376
electronics,2542,2532,513,146,2754,156971.55,46325.43,203296.98,56.997657952069716,777.5010893246188,2728,4.05425219941349,12.809017595307918,0.07587976539589443,2728,0.15102639296187684,0.2278707239035228,0.011671155329202558,0.8655592906948402
fashion_bags_accessories,1850,1785,843,98,2016,151238.55,31173.61,182412.16,75.01912202380952,377.7470238095238,1976,4.1826923076923075,11.013663967611336,0.05313765182186235,1976,0.11740890688259109,0.17089655645763965,0.011244895070561305,0.8768041857654014
consoles_games,1044,1040,310,81,1117,151045.01,19505.17,170550.18,135.22382273948077,435.80393912265,1082,4.109981515711645,13.4362292051756,0.059149722735674676,1082,0.12939001848428835,0.11436616484368413,0.011230504976289996,0.8880346907416914
construction_tools_construction,746,742,400,127,927,144550.19,20629.5,165179.69,155.9333225458468,3124.8576051779937,916,4.077510917030568,10.641921397379912,0.06331877729257641,916,0.14301310043668122,0.12489126235798118,0.01074760184476577,0.8987822925864571
luggage_accessories,1030,1024,348,73,1088,140111.38,30392.71,170504.09,128.77884191176472,5793.386029411765,1077,4.346332404828226,10.617455896007428,0.04178272980501393,1077,0.0882079851439183,0.17825208767719297,0.01041756725577931,0.9091998598422365
home_appliances_2,231,226,90,46,235,110649.74,10405.78,121055.52,470.84995744680856,8946.76170212766,231,4.16017316017316,13.86147186147186,0.06060606060606061,231,0.12121212121212122,0.08595874025405864,0.008227034151576369,0.9174268939938128
home_construction,489,488,225,68,603,83010.12,13823.5,96833.62,137.66189054726368,3055.620232172471,596,3.9446308724832213,13.15268456375839,0.0587248322147651,596,0.17785234899328858,0.14275517118951042,0.0061719719555278895,0.9235988659493407
home_appliances,762,701,369,48,769,80001.24,14770.06,94771.3,104.03282184655397,1913.4733420026007,754,4.213527851458886,11.221485411140584,0.04509283819628647,754,0.11007957559681697,0.15584950296133956,0.005948255582421228,0.9295471215317619
agro_industry_and_commerce,182,181,74,34,212,72530.47,5843.6,78374.07,342.12485849056606,3625.1132075471696,206,4.087378640776699,11.58252427184466,0.03398058252427184,206,0.13592233009708737,0.07456037436871658,0.005392788575191277,0.9349399101069532
furniture_living_room,420,413,155,55,501,68638.56,17918.74,86557.3,137.0031137724551,8104.878243512974,495,3.915151515151515,13.775757575757575,0.0707070707070707,495,0.17575757575757575,0.2070159304876654,0.005103417118151599,0.9400433272251048
home_confort,397,396,111,20,434,58572.04,8501.23,67073.27,134.95861751152074,3114.400921658986,429,3.8531468531468533,13.461538461538462,0.09324009324009325,429,0.19813519813519814,0.12674542332586436,0.004354950797060139,0.9443982780221649
